date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
2,81,11,1014,Passing clouds.
2,81,9,1014,Light snow. Passing clouds.
2,75,9,1014,Overcast.
2,75,7,1014,Light snow. Overcast.
2,75,9,1014,Overcast.
2,81,6,1014,Overcast.
1,87,6,1014,Overcast.
1,87,7,1014,Overcast.
1,87,6,1013,Overcast.
1,87,7,1013,Overcast.
1,87,9,1013,Overcast.
1,87,9,1013,Overcast.
1,87,9,1013,Overcast.
1,87,7,1013,Passing clouds.
1,87,7,1014,Partly sunny.
1,87,6,1014,Partly sunny.
2,81,9,1014,Light snow. Partly sunny.
2,81,11,1014,Light snow. Partly sunny.
2,81,9,1014,Light snow. Scattered clouds.
2,81,11,1014,Light snow. Scattered clouds.
2,75,13,1014,Passing clouds.
2,81,15,1013,Passing clouds.
2,81,13,1013,Light snow. Scattered clouds.
3,75,17,1012,Light snow. Passing clouds.
3,70,17,1012,Light snow. Passing clouds.
3,70,15,1012,Passing clouds.
3,75,15,1012,Light rain. Scattered clouds.
3,75,13,1012,Light rain. Partly sunny.
3,75,17,1012,Light rain. Partly sunny.
3,75,13,1012,Light rain. Partly sunny.
3,75,13,1012,Light rain. Partly cloudy.
2,81,15,1012,Light rain. Passing clouds.
2,87,13,1012,Light rain. Partly cloudy.
2,87,11,1012,Light rain. Partly cloudy.
2,87,13,1012,Light rain. Partly cloudy.
1,93,13,1012,Light rain. Partly cloudy.
1,93,17,1012,Light rain. Passing clouds.
1,93,17,1012,Light rain. Passing clouds.
1,93,17,1012,Light rain. Partly cloudy.
1,93,17,1012,Light rain. Passing clouds.
1,93,15,1013,Light rain. Passing clouds.
1,93,15,1013,Light rain. Passing clouds.
1,93,15,1012,Passing clouds.
1,87,17,1012,Passing clouds.
1,87,20,1012,Passing clouds.
1,87,17,1012,Passing clouds.
1,87,13,1012,Passing clouds.
1,87,15,1012,Passing clouds.
1,87,17,1012,Passing clouds.
1,81,15,1012,Passing clouds.
1,87,13,1012,Light snow. Passing clouds.
1,87,13,1012,Light snow. Partly cloudy.
1,87,11,1012,Light snow. Partly cloudy.
1,87,13,1012,Partly cloudy.
1,87,13,1012,Light snow. Passing clouds.
1,93,15,1012,Light snow. Partly cloudy.
1,93,11,1012,Light snow. Partly cloudy.
1,93,13,1012,Light snow. Partly cloudy.
1,93,15,1012,Light snow. Partly cloudy.
1,93,15,1012,Light snow. Passing clouds.
1,93,13,1012,Light rain. Partly cloudy.
1,93,17,1013,Light rain. Partly sunny.
1,93,15,1013,Light rain. Partly sunny.
2,87,15,1013,Passing clouds.
2,87,15,1014,Passing clouds.
2,87,17,1014,Passing clouds.
2,87,17,1014,Light rain. Passing clouds.
3,81,15,1014,Light rain. Passing clouds.
3,81,13,1014,Light rain. Broken clouds.
3,81,13,1014,Light rain. Partly sunny.
3,81,13,1014,Light rain. Partly sunny.
3,75,15,1014,Light rain. Partly sunny.
3,81,19,1014,Light rain. Broken clouds.
3,75,15,1014,Broken clouds.
3,75,15,1015,Broken clouds.
3,75,11,1015,Scattered clouds.
3,75,9,1015,Broken clouds.
3,75,9,1015,Passing clouds.
3,75,11,1016,Passing clouds.
3,75,11,1016,Passing clouds.
2,81,11,1016,Passing clouds.
2,81,9,1017,Passing clouds.
2,81,4,1017,Passing clouds.
2,81,7,1017,Passing clouds.
2,81,7,1017,Passing clouds.
2,81,7,1017,Passing clouds.
1,87,9,1018,Passing clouds.
2,81,9,1018,Passing clouds.
2,81,6,1018,Partly cloudy.
2,81,6,1018,Passing clouds.
0,93,6,1018,Passing clouds.
1,87,6,1019,Clear.
1,87,7,1019,Clear.
0,93,6,1019,Passing clouds.
0,93,9,1019,Passing clouds.
0,87,7,1020,Passing clouds.
1,81,7,1020,Clear.
1,81,7,1020,Clear.
1,81,9,1020,Clear.
1,81,15,1020,Passing clouds.
1,81,13,1020,Passing clouds.
1,81,7,1020,Passing clouds.
1,81,11,1020,Passing clouds.
1,81,4,1021,Passing clouds.
1,87,7,1021,Passing clouds.
0,87,4,1021,Passing clouds.
0,87,6,1021,Passing clouds.
0,93,2,1021,Scattered clouds.
0,93,7,1022,Scattered clouds.
2,81,7,1022,Scattered clouds.
2,75,9,1022,Passing clouds.
3,70,11,1022,Passing clouds.
3,70,11,1022,Passing clouds.
3,70,13,1022,Scattered clouds.
3,60,13,1022,Partly sunny.
3,60,15,1022,Partly sunny.
3,60,13,1022,Partly sunny.
2,70,17,1022,Partly sunny.
3,65,17,1023,Partly sunny.
2,65,11,1023,Scattered clouds.
2,65,7,1023,Scattered clouds.
3,60,13,1023,Partly sunny.
2,70,13,1023,Partly sunny.
2,70,7,1023,Passing clouds.
1,75,11,1023,Passing clouds.
1,70,4,1023,Passing clouds.
1,70,6,1023,Passing clouds.
0,75,2,1023,Passing clouds.
-1,80,2,1024,Passing clouds.
-1,86,2,1024,Passing clouds.
-1,86,2,1024,Passing clouds.
-1,86,4,1024,Passing clouds.
-2,86,2,1024,Passing clouds.
-1,86,2,1024,Passing clouds.
-1,80,4,1024,Passing clouds.
-1,86,4,1024,Passing clouds.
-2,93,0,1024,Passing clouds.
-2,93,2,1024,Passing clouds.
-2,93,4,1024,Clear.
-2,93,2,1024,Clear.
-2,93,4,1024,Clear.
-2,93,4,1024,Passing clouds.
-2,93,2,1024,Clear.
-2,93,4,1024,Clear.
-2,86,4,1024,Clear.
-3,93,2,1024,Clear.
-3,93,6,1024,Passing clouds.
-3,93,6,1024,Passing clouds.
-4,100,4,1024,Clear.
-4,93,2,1024,Clear.
-4,100,2,1024,Clear.
-3,24,2,1024,Clear.
-4,100,2,1024,Clear.
-3,93,4,1025,Clear.
-3,93,2,1024,Clear.
-2,93,2,1025,Sunny.
